gene	length_nt	header
RPS6KC1	3150	lcl|NC_000001.11_cds_XP_016856513.2_11539 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X3] [protein_id=XP_016856513.2] [location=join(213061369..213061527,213071006..213071041,213077696..213077816,213104454..213104569,213117317..213117410,213129527..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213378733..213378738)] [gbkey=CDS]
RPS6KC1	3255	lcl|NC_000001.11_cds_XP_047273868.1_11540 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X1] [protein_id=XP_047273868.1] [location=join(213061369..213061527,213071006..213071041,213077696..213077816,213104454..213104569,213117317..213117410,213129527..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	3162	lcl|NC_000001.11_cds_XP_047273875.1_11541 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X2] [protein_id=XP_047273875.1] [location=join(213061369..213061527,213071006..213071041,213077696..213077816,213104454..213104569,213117317..213117410,213129527..213129889,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2658	lcl|NC_000001.11_cds_NP_001336578.1_11542 [gene=RPS6KC1] [db_xref=CCDS:CCDS73028.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform e] [protein_id=NP_001336578.1] [location=join(213129598..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2658	lcl|NC_000001.11_cds_NP_001336581.1_11543 [gene=RPS6KC1] [db_xref=CCDS:CCDS73028.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform e] [protein_id=NP_001336581.1] [location=join(213129598..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2658	lcl|NC_000001.11_cds_NP_001336582.1_11544 [gene=RPS6KC1] [db_xref=CCDS:CCDS73028.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform e] [protein_id=NP_001336582.1] [location=join(213129598..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2658	lcl|NC_000001.11_cds_NP_001336579.1_11545 [gene=RPS6KC1] [db_xref=CCDS:CCDS73028.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform e] [protein_id=NP_001336579.1] [location=join(213129598..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2658	lcl|NC_000001.11_cds_NP_001336580.1_11546 [gene=RPS6KC1] [db_xref=CCDS:CCDS73028.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform e] [protein_id=NP_001336580.1] [location=join(213129598..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2658	lcl|NC_000001.11_cds_NP_001336577.1_11547 [gene=RPS6KC1] [db_xref=CCDS:CCDS73028.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform e] [protein_id=NP_001336577.1] [location=join(213129598..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2658	lcl|NC_000001.11_cds_XP_047273904.1_11548 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform X9] [protein_id=XP_047273904.1] [location=join(213129598..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2658	lcl|NC_000001.11_cds_NP_001274150.1_11549 [gene=RPS6KC1] [db_xref=CCDS:CCDS73028.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform e] [protein_id=NP_001274150.1] [location=join(213129598..213129889,213167858..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2565	lcl|NC_000001.11_cds_NP_001336583.1_11550 [gene=RPS6KC1] [db_xref=CCDS:CCDS73029.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform c] [protein_id=NP_001336583.1] [location=join(213129598..213129889,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2565	lcl|NC_000001.11_cds_NP_001274147.1_11551 [gene=RPS6KC1] [db_xref=CCDS:CCDS73029.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform c] [protein_id=NP_001274147.1] [location=join(213129598..213129889,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2565	lcl|NC_000001.11_cds_NP_001274148.1_11552 [gene=RPS6KC1] [db_xref=CCDS:CCDS73029.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform c] [protein_id=NP_001274148.1] [location=join(213129598..213129889,213167858..213167973,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2310	lcl|NC_000001.11_cds_NP_001336587.1_11553 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform h] [protein_id=NP_001336587.1] [location=join(213167914..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2310	lcl|NC_000001.11_cds_NP_001336586.1_11554 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform h] [protein_id=NP_001336586.1] [location=join(213167914..213167973,213176400..213176492,213230497..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2145	lcl|NC_000001.11_cds_NP_001336589.1_11555 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform i] [protein_id=NP_001336589.1] [location=join(213230509..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2145	lcl|NC_000001.11_cds_NP_001336588.1_11556 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform i] [protein_id=NP_001336588.1] [location=join(213230509..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2145	lcl|NC_000001.11_cds_NP_001336591.1_11557 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform i] [protein_id=NP_001336591.1] [location=join(213230509..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	2145	lcl|NC_000001.11_cds_NP_001336590.1_11558 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform i] [protein_id=NP_001336590.1] [location=join(213230509..213230544,213232123..213232255,213240702..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336595.1_11559 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336595.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336600.1_11560 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336600.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336596.1_11561 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336596.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336592.1_11562 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336592.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336597.1_11563 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336597.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336598.1_11564 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336598.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336599.1_11565 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336599.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336594.1_11566 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336594.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001336593.1_11567 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001336593.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1806	lcl|NC_000001.11_cds_NP_001274149.1_11568 [gene=RPS6KC1] [db_xref=CCDS:CCDS73030.1,GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform d] [protein_id=NP_001274149.1] [location=join(213240872..213242297,213242569..213242658,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS6KC1	1716	lcl|NC_000001.11_cds_NP_001336601.1_11569 [gene=RPS6KC1] [db_xref=GeneID:26750] [protein=ribosomal protein S6 kinase delta-1 isoform j] [protein_id=NP_001336601.1] [location=join(213240872..213242297,213261558..213261640,213262721..213262816,213272524..213272634)] [gbkey=CDS]
RPS7	585	lcl|NC_000002.12_cds_NP_001002.1_12978 [gene=RPS7] [db_xref=CCDS:CCDS1648.1,Ensembl:ENSP00000496757.1,GeneID:6201] [protein=small ribosomal subunit protein eS7] [protein_id=NP_001002.1] [location=join(3575610..3575684,3575817..3575888,3576487..3576630,3577710..3577774,3580110..3580260,3580805..3580882)] [gbkey=CDS]
RPS27A	471	lcl|NC_000002.12_cds_NP_001129064.1_14835 [gene=RPS27A] [db_xref=CCDS:CCDS33202.1,GeneID:6233] [protein=ubiquitin-ribosomal protein eS31 fusion protein precursor] [protein_id=NP_001129064.1] [location=join(55232825..55232872,55233363..55233417,55234119..55234204,55234831..55234962,55235428..55235577)] [gbkey=CDS]
RPS27A	471	lcl|NC_000002.12_cds_NP_001170884.1_14836 [gene=RPS27A] [db_xref=CCDS:CCDS33202.1,GeneID:6233] [protein=ubiquitin-ribosomal protein eS31 fusion protein precursor] [protein_id=NP_001170884.1] [location=join(55232825..55232872,55233363..55233417,55234119..55234204,55234831..55234962,55235428..55235577)] [gbkey=CDS]
RPS27A	471	lcl|NC_000002.12_cds_NP_002945.1_14837 [gene=RPS27A] [db_xref=CCDS:CCDS33202.1,Ensembl:ENSP00000272317.6,GeneID:6233] [protein=ubiquitin-ribosomal protein eS31 fusion protein precursor] [protein_id=NP_002945.1] [location=join(55232825..55232872,55233363..55233417,55234119..55234204,55234831..55234962,55235428..55235577)] [gbkey=CDS]
RPL31	387	lcl|NC_000002.12_cds_NP_001092047.1_16709 [gene=RPL31] [db_xref=CCDS:CCDS46373.1,GeneID:6160] [protein=large ribosomal subunit protein eL31 isoform 2] [protein_id=NP_001092047.1] [location=join(101002702..101002808,101004158..101004283,101005959..101006071,101018998..101019038)] [gbkey=CDS]
RPL31	378	lcl|NC_000002.12_cds_NP_000984.1_16710 [gene=RPL31] [db_xref=CCDS:CCDS2049.1,Ensembl:ENSP00000264258.3,GeneID:6160] [protein=large ribosomal subunit protein eL31 isoform 1] [protein_id=NP_000984.1] [location=join(101002702..101002808,101004158..101004283,101005959..101006071,101006350..101006381)] [gbkey=CDS]
RPL31	366	lcl|NC_000002.12_cds_NP_001093163.1_16711 [gene=RPL31] [db_xref=CCDS:CCDS46374.1,GeneID:6160] [protein=large ribosomal subunit protein eL31 isoform 3] [protein_id=NP_001093163.1] [location=join(101002702..101002808,101004158..101004283,101005959..101006091)] [gbkey=CDS]
RPL37A	279	lcl|NC_000002.12_cds_NP_000989.1_20846 [gene=RPL37A] [db_xref=CCDS:CCDS2404.1,Ensembl:ENSP00000418082.1,GeneID:6168] [protein=large ribosomal subunit protein eL43] [protein_id=NP_000989.1] [location=join(216498875..216498877,216499270..216499398,216499949..216500031,216501341..216501404)] [gbkey=CDS]
RPL32	408	lcl|NC_000003.12_cds_NP_000985.1_23174 [gene=RPL32] [db_xref=CCDS:CCDS2614.1,Ensembl:ENSP00000416429.2,GeneID:6161] [protein=large ribosomal subunit protein eL32] [protein_id=NP_000985.1] [location=complement(join(12836094..12836223,12839349..12839530,12840142..12840237))] [gbkey=CDS]
RPL32	408	lcl|NC_000003.12_cds_NP_001007074.1_23175 [gene=RPL32] [db_xref=CCDS:CCDS2614.1,GeneID:6161] [protein=large ribosomal subunit protein eL32] [protein_id=NP_001007074.1] [location=complement(join(12836094..12836223,12839349..12839530,12840142..12840237))] [gbkey=CDS]
RPL32	408	lcl|NC_000003.12_cds_NP_001007075.1_23176 [gene=RPL32] [db_xref=CCDS:CCDS2614.1,GeneID:6161] [protein=large ribosomal subunit protein eL32] [protein_id=NP_001007075.1] [location=complement(join(12836094..12836223,12839349..12839530,12840142..12840237))] [gbkey=CDS]
RPL15	438	lcl|NC_000003.12_cds_NP_001240313.1_23653 [gene=RPL15] [db_xref=CCDS:CCDS58818.1,GeneID:6138] [protein=large ribosomal subunit protein eL15 isoform 2] [protein_id=NP_001240313.1] [location=join(23917860..23918031,23918440..23918576,23919196..23919246,23921598..23921675)] [gbkey=CDS]
RPL15	615	lcl|NC_000003.12_cds_NP_002939.2_23654 [gene=RPL15] [db_xref=CCDS:CCDS2640.1,Ensembl:ENSP00000309334.5,GeneID:6138] [protein=large ribosomal subunit protein eL15 isoform 1] [protein_id=NP_002939.2] [location=join(23917860..23918031,23918440..23918576,23919196..23919501)] [gbkey=CDS]
RPL15	615	lcl|NC_000003.12_cds_NP_001240308.1_23655 [gene=RPL15] [db_xref=CCDS:CCDS2640.1,GeneID:6138] [protein=large ribosomal subunit protein eL15 isoform 1] [protein_id=NP_001240308.1] [location=join(23917860..23918031,23918440..23918576,23919196..23919501)] [gbkey=CDS]
RPL15	615	lcl|NC_000003.12_cds_NP_001240309.1_23656 [gene=RPL15] [db_xref=CCDS:CCDS2640.1,GeneID:6138] [protein=large ribosomal subunit protein eL15 isoform 1] [protein_id=NP_001240309.1] [location=join(23917860..23918031,23918440..23918576,23919196..23919501)] [gbkey=CDS]
RPL15	615	lcl|NC_000003.12_cds_NP_001240311.1_23657 [gene=RPL15] [db_xref=CCDS:CCDS2640.1,GeneID:6138] [protein=large ribosomal subunit protein eL15 isoform 1] [protein_id=NP_001240311.1] [location=join(23917860..23918031,23918440..23918576,23919196..23919501)] [gbkey=CDS]
RPL15	615	lcl|NC_000003.12_cds_NP_001240312.1_23658 [gene=RPL15] [db_xref=CCDS:CCDS2640.1,GeneID:6138] [protein=large ribosomal subunit protein eL15 isoform 1] [protein_id=NP_001240312.1] [location=join(23917860..23918031,23918440..23918576,23919196..23919501)] [gbkey=CDS]
